Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support  ,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
295-62-4300,23,Male,4,25,5,8,6,2,1,4,4,8,No,5,Social Media Engagement,4,Yes,No,2
408-46-2153,24,Male,4,59,0,11,6,1,3,2,4,6,Yes,5,Meditation,2,No,No,3
292-85-0963,21,Male,1,17,2,8,8,3,2,5,4,5,No,2,Talking to Friends,3,Yes,Yes,5
831-71-1472,21,Male,1,21,8,6,9,3,5,3,3,8,Yes,3,Reading,1,Yes,No,2
742-17-8756,29,Male,3,4,1,10,7,2,1,3,3,9,No,1,Exercise,5,No,No,3
209-21-5372,24,Male,1,10,3,8,1,5,2,3,3,2,Yes,3,Exercise,2,No,Yes,1
288-28-5340,28,Male,3,5,7,7,10,4,5,4,4,6,Yes,3,Watching Sports,5,No,No,1
532-53-7106,30,Male,4,28,7,11,6,2,3,3,3,1,Yes,2,Watching Sports,5,Yes,No,3
407-39-5818,24,Genderfluid,4,48,7,11,1,3,2,3,5,4,Yes,2,Meditation,1,No,Yes,3
740-68-1900,19,Female,0,60,8,5,8,2,1,3,5,10,No,5,Social Media Engagement,3,No,No,2
100-42-4509,28,Male,2,20,7,10,2,3,5,3,3,1,Yes,2,Talking to Friends,1,Yes,No,3
777-29-7370,21,Female,3,0,4,12,10,2,2,3,2,5,No,3,Reading,1,Yes,No,3
117-12-6960,18,Agender,1,21,2,11,7,5,1,2,3,8,Yes,4,Yoga,4,Yes,Yes,1
866-68-4346,27,Female,4,44,6,10,2,4,1,5,5,2,No,3,Exercise,5,Yes,No,4
687-83-4719,24,Male,3,24,2,6,7,1,3,3,1,2,Yes,1,Spending Time Alone,3,Yes,No,4
736-72-0270,18,Female,3,2,4,11,1,1,1,2,3,4,Yes,5,Walking or Nature Walks,1,No,No,1
185-53-6544,18,Male,2,19,8,5,10,2,4,1,4,9,No,5,Walking or Nature Walks,2,Yes,Yes,5
483-60-4480,27,Female,3,17,2,7,1,2,2,5,1,5,Yes,5,Exercise,5,No,No,1
292-04-4209,18,Female,2,18,3,11,7,4,4,1,4,1,No,5,Reading,4,No,Yes,3
383-42-5117,29,Male,1,9,6,6,7,3,5,3,3,1,No,4,Talking to Friends,3,No,Yes,4
588-56-7179,25,Female,2,28,8,9,6,1,3,5,2,9,Yes,5,Reading,2,Yes,Yes,5
339-20-6030,26,Female,2,12,2,4,2,3,4,2,2,1,No,5,Meditation,4,No,No,2
691-94-2434,25,Male,3,1,5,11,1,2,2,5,3,8,Yes,1,Exercise,5,No,No,2
683-65-1968,30,Male,3,0,1,6,9,5,3,4,1,9,No,5,Meditation,3,No,Yes,4
387-67-7202,28,Female,4,59,8,10,9,2,5,4,2,9,Yes,1,Exercise,2,No,Yes,4
209-32-8628,30,Male,0,31,2,11,0,4,4,5,2,8,No,3,Spending Time Alone,3,No,Yes,1
850-13-5324,22,Male,1,13,5,11,8,2,5,3,1,3,No,1,Exercise,1,No,Yes,2
178-03-0028,24,Female,4,54,7,12,4,2,1,5,1,4,No,3,Social Media Engagement,5,Yes,No,1
800-36-7705,30,Female,0,14,3,10,3,1,4,5,1,5,No,3,Exercise,4,Yes,No,2
367-56-4708,18,Female,0,57,2,5,1,3,1,5,5,3,No,2,Travelling,4,No,No,4
297-69-4479,24,Male,3,53,4,4,10,4,3,3,2,4,Yes,5,Social Media Engagement,4,No,Yes,3
592-23-4557,20,Bigender,2,14,8,8,6,2,1,3,2,8,No,5,Watching Sports,2,Yes,Yes,3
252-89-3971,18,Male,1,41,2,4,8,4,5,3,2,4,No,5,Yoga,3,Yes,Yes,1
811-27-2129,24,Male,0,53,5,6,10,3,1,4,2,2,Yes,3,Watching Sports,5,Yes,No,5
747-47-2831,19,Agender,0,50,6,5,4,2,4,4,2,5,No,2,Meditation,2,Yes,Yes,1
526-78-3751,18,Male,3,37,1,7,5,3,5,4,3,5,Yes,5,Talking to Friends,1,No,No,4
481-45-3887,23,Female,3,36,2,6,9,3,5,4,2,6,No,2,Exercise,4,No,No,1
751-18-9499,30,Female,0,36,2,12,9,4,4,2,3,3,Yes,3,Social Media Engagement,4,No,Yes,2
124-71-1553,25,Male,1,16,4,5,6,3,1,4,1,7,Yes,2,Social Media Engagement,1,No,No,2
214-58-4982,18,Agender,0,42,5,11,0,2,5,3,2,8,Yes,5,Exercise,2,No,No,3
474-66-6263,28,Male,2,15,4,6,4,3,5,5,4,5,Yes,2,Talking to Friends,5,Yes,Yes,5
204-16-7799,26,Female,1,36,1,7,0,4,3,2,4,7,Yes,2,Exercise,1,No,Yes,5
366-05-7001,21,Female,0,38,1,9,7,1,4,3,5,8,Yes,2,Exercise,5,No,No,5
293-94-5530,21,Polygender,3,53,3,10,5,1,1,5,3,10,Yes,3,Travelling,3,No,Yes,4
667-21-2334,21,Female,0,59,7,7,10,2,4,2,2,2,No,1,Reading,1,Yes,Yes,2
652-50-6948,26,Male,3,51,0,4,1,3,3,5,2,9,Yes,3,Social Media Engagement,5,Yes,No,1
429-54-5963,20,Bigender,2,53,2,5,9,2,2,5,4,7,No,4,Exercise,3,Yes,No,1
821-85-3152,18,Male,4,33,0,12,2,1,5,4,3,7,Yes,4,Yoga,5,No,No,5
767-02-0514,30,Female,4,60,2,4,1,4,3,4,4,3,No,5,Social Media Engagement,5,Yes,Yes,4
135-19-3886,27,Female,3,38,7,7,2,4,5,4,5,5,Yes,2,Travelling,2,No,Yes,4
124-45-0187,27,Female,2,21,0,7,8,2,4,2,1,3,No,4,Meditation,4,Yes,No,4
508-77-1604,25,Female,3,30,5,10,6,4,5,2,1,7,Yes,2,Social Media Engagement,3,No,No,3
631-57-6187,30,Male,4,42,2,7,5,3,3,4,4,8,Yes,5,Meditation,2,Yes,Yes,3
729-12-6141,27,Male,1,54,6,6,10,1,5,4,2,1,Yes,1,Travelling,1,No,No,5
609-64-7643,26,Female,0,47,2,11,0,4,1,4,1,2,Yes,3,Exercise,1,No,No,2
730-87-4838,20,Male,4,38,3,8,9,4,5,4,3,2,No,2,Spending Time Alone,3,Yes,No,1
838-92-9671,23,Female,3,54,4,4,10,2,1,1,1,6,Yes,2,Meditation,1,Yes,Yes,3
250-73-3043,29,Male,1,51,0,11,10,2,4,2,3,10,No,3,Spending Time Alone,1,No,No,1
755-25-6365,25,Female,2,2,1,8,1,1,1,3,5,6,No,4,Travelling,4,Yes,No,4
392-82-0634,30,Female,0,24,1,7,7,2,1,2,5,10,No,5,Meditation,3,No,No,1
553-73-9451,25,Female,1,13,1,10,5,2,5,3,2,7,No,5,Social Media Engagement,4,No,No,5
213-22-7971,26,Male,3,8,4,9,8,1,5,5,2,5,No,5,Yoga,4,No,No,3
620-60-6101,23,Female,1,59,1,7,2,1,4,4,2,6,No,1,Talking to Friends,1,No,Yes,3
219-05-2185,19,Male,2,54,4,10,7,4,2,1,4,1,Yes,5,Reading,5,No,Yes,3
332-05-7324,19,Male,3,7,7,8,9,4,1,1,2,5,No,1,Talking to Friends,1,No,Yes,4
138-22-1341,23,Female,4,57,8,5,3,3,4,5,2,5,Yes,3,Exercise,3,No,Yes,2
347-81-9759,26,Bigender,4,29,3,12,5,3,2,3,1,8,Yes,5,Reading,3,Yes,Yes,3
500-75-5507,27,Female,2,3,7,9,6,5,4,3,4,8,No,2,Yoga,3,Yes,No,1
735-88-4515,21,Male,4,3,6,10,9,3,4,4,4,2,No,2,Meditation,2,No,No,2
830-93-7957,29,Female,2,36,4,11,0,3,3,1,1,1,No,5,Social Media Engagement,5,No,Yes,2
629-52-7023,29,Male,1,53,7,9,1,4,5,3,3,7,No,4,Walking or Nature Walks,4,Yes,Yes,2
400-21-6724,23,Male,4,0,3,9,5,2,4,4,2,10,No,1,Meditation,4,Yes,No,3
479-91-6861,18,Male,3,45,3,7,5,5,2,1,3,2,No,2,Yoga,5,Yes,No,5
512-53-1330,20,Female,3,8,3,10,2,3,3,5,3,9,No,3,Walking or Nature Walks,1,No,Yes,4
211-15-8624,23,Female,4,19,6,11,5,4,4,3,4,3,Yes,5,Reading,2,Yes,No,1
586-54-6715,27,Female,0,23,8,11,4,4,3,4,2,1,Yes,1,Travelling,1,No,No,4
163-09-3422,25,Male,0,55,8,11,9,4,5,4,5,1,No,5,Reading,1,No,No,5
596-04-1416,21,Male,4,17,7,6,7,3,4,2,4,5,No,4,Talking to Friends,2,Yes,Yes,5
638-52-2815,24,Female,1,0,4,10,0,4,5,5,1,2,Yes,5,Yoga,3,Yes,No,4
217-66-0052,24,Female,2,56,2,4,9,5,2,4,1,2,Yes,3,Travelling,3,No,Yes,2
276-11-5486,30,Female,3,26,0,7,4,4,3,2,2,2,Yes,1,Reading,1,No,No,4
786-72-6825,21,Female,3,11,8,11,4,4,5,4,2,10,Yes,3,Meditation,5,No,Yes,1
618-46-7437,25,Male,3,43,8,12,6,4,1,2,3,6,Yes,5,Watching Sports,3,No,No,3
447-34-8357,21,Female,2,44,5,12,10,3,2,2,3,3,Yes,4,Yoga,4,No,No,4
581-07-0225,25,Female,1,20,5,7,1,4,3,4,3,7,No,4,Watching Sports,5,Yes,Yes,2
470-08-9695,28,Bigender,4,8,2,4,5,2,5,5,2,1,No,4,Spending Time Alone,1,No,Yes,4
432-35-6566,20,Male,4,27,7,9,7,3,4,2,2,6,Yes,2,Travelling,4,Yes,No,2
840-63-7764,24,Non-binary,4,24,3,7,9,5,3,5,5,7,No,3,Watching Sports,2,No,No,2
768-78-3237,21,Non-binary,2,12,0,12,0,2,5,4,2,10,No,2,Yoga,3,No,Yes,2
102-51-9968,18,Female,1,39,6,7,7,1,5,4,1,6,No,3,Spending Time Alone,1,Yes,No,4
501-67-5697,23,Female,3,12,4,10,7,2,1,4,5,5,Yes,3,Exercise,2,Yes,No,3
819-14-2694,29,Female,1,24,5,8,9,1,4,4,5,1,No,1,Meditation,5,Yes,No,5
380-99-9542,24,Agender,3,58,3,12,7,2,2,3,1,9,Yes,2,Yoga,2,Yes,Yes,5
429-63-3333,25,Male,4,41,8,6,6,1,3,5,3,8,Yes,5,Talking to Friends,5,No,No,1
605-97-7460,28,Female,2,51,4,11,6,5,3,1,2,7,No,1,Social Media Engagement,4,Yes,Yes,3
156-59-9054,18,Male,4,27,8,6,5,5,2,5,3,8,Yes,1,Exercise,2,No,No,3
567-20-0671,20,Female,2,34,2,9,1,4,4,3,4,2,No,1,Social Media Engagement,4,Yes,No,5
115-05-2082,24,Male,1,22,2,12,0,3,5,2,5,6,No,2,Reading,5,Yes,No,5
648-32-3365,28,Female,0,24,7,10,3,5,3,1,2,5,Yes,5,Spending Time Alone,5,Yes,Yes,5
747-92-3547,29,Male,3,45,6,8,6,1,2,4,2,3,No,1,Reading,5,Yes,No,1
430-08-1444,19,Female,0,42,3,11,1,2,5,1,5,7,Yes,1,Spending Time Alone,2,Yes,Yes,1
311-25-5374,30,Male,0,49,7,11,1,1,2,1,3,10,No,3,Watching Sports,5,Yes,No,3
508-61-1958,25,Female,2,58,5,11,5,4,3,5,5,10,Yes,4,Social Media Engagement,2,No,Yes,3
311-01-4979,21,Male,0,0,7,6,4,4,5,1,2,9,No,3,Reading,1,No,Yes,1
357-60-6383,18,Male,2,26,3,5,10,5,3,2,4,8,No,2,Reading,3,No,Yes,5
582-66-4545,25,Male,1,12,1,8,0,1,2,1,3,4,Yes,2,Social Media Engagement,4,No,Yes,4
857-78-9982,29,Female,3,24,6,7,3,3,3,2,5,4,No,2,Social Media Engagement,2,Yes,No,3
361-01-5382,23,Female,0,1,3,7,3,3,5,1,4,8,No,2,Meditation,2,Yes,No,3
655-35-0977,22,Male,3,21,1,8,10,1,2,3,1,8,Yes,2,Exercise,1,No,No,2
704-27-3229,23,Female,1,29,8,4,9,3,2,4,2,1,Yes,1,Walking or Nature Walks,3,No,No,5
630-45-3543,19,Male,1,55,6,10,5,3,5,2,5,5,Yes,4,Talking to Friends,2,Yes,No,4
143-64-7699,22,Female,4,31,5,8,4,3,5,4,1,8,No,3,Walking or Nature Walks,4,No,No,4
380-01-5180,26,Female,2,44,7,10,9,1,3,3,4,5,No,1,Reading,5,No,Yes,4
358-27-6734,22,Male,0,18,6,4,4,1,5,1,5,8,No,5,Watching Sports,1,No,Yes,2
763-50-9563,27,Male,0,20,1,4,3,3,4,3,2,5,Yes,1,Exercise,1,Yes,No,3
679-91-0440,19,Male,0,38,5,12,1,2,3,4,1,1,Yes,5,Reading,2,Yes,Yes,1
686-76-8831,23,Female,1,18,8,6,1,5,3,4,3,9,No,3,Walking or Nature Walks,1,No,Yes,5
327-52-9753,20,Female,2,22,0,12,0,5,2,2,4,7,Yes,1,Yoga,2,No,No,4
469-83-1014,28,Male,3,6,8,7,4,3,5,4,4,9,No,4,Walking or Nature Walks,5,No,Yes,2
730-70-1674,26,Male,2,5,0,5,2,5,5,1,2,4,Yes,1,Walking or Nature Walks,1,Yes,No,1
779-26-7175,25,Female,4,15,5,9,0,5,4,1,5,7,No,4,Watching Sports,4,No,Yes,3
817-11-4511,28,Female,2,5,7,11,6,5,4,4,1,9,No,5,Walking or Nature Walks,3,No,Yes,3
761-08-6341,21,Male,2,60,6,4,3,5,1,3,4,4,Yes,5,Yoga,3,No,Yes,1
169-56-0960,19,Male,1,0,5,11,8,5,2,1,2,5,No,4,Meditation,3,No,No,2
616-12-8556,27,Male,3,47,8,10,0,2,4,5,1,5,Yes,1,Talking to Friends,1,No,No,5
858-37-7984,22,Bigender,2,34,8,8,8,1,3,1,1,8,Yes,2,Travelling,1,No,Yes,2
235-80-3727,21,Female,2,11,6,12,1,5,2,3,3,10,No,1,Social Media Engagement,2,Yes,Yes,4
217-43-4810,21,Female,3,36,6,11,3,3,1,1,5,3,Yes,3,Watching Sports,4,No,No,4
588-69-4170,24,Female,3,7,2,10,1,1,1,5,3,1,Yes,1,Talking to Friends,1,Yes,Yes,1
224-13-7621,27,Female,2,27,5,10,5,2,3,3,1,4,No,5,Yoga,1,Yes,No,4
754-33-1593,28,Genderqueer,1,11,7,12,5,4,2,2,1,9,Yes,5,Social Media Engagement,2,No,No,4
202-42-0001,26,Female,0,51,4,12,4,2,4,2,1,7,Yes,4,Watching Sports,2,No,No,1
891-44-0532,24,Female,1,50,2,12,7,5,1,5,3,4,No,2,Yoga,5,No,Yes,3
489-83-9210,19,Male,2,25,5,6,6,3,1,2,5,2,No,2,Watching Sports,3,Yes,Yes,1
505-67-4877,20,Female,2,18,0,7,1,4,1,4,2,10,No,5,Social Media Engagement,4,Yes,Yes,2
490-85-9933,21,Male,3,17,0,11,10,5,3,3,1,3,Yes,2,Meditation,2,No,No,3
149-82-1193,22,Polygender,2,44,5,11,3,2,2,3,5,2,Yes,2,Travelling,5,No,Yes,4
449-71-1303,27,Female,3,45,2,7,4,4,2,2,3,3,No,2,Watching Sports,2,Yes,Yes,1
855-81-6070,27,Male,3,39,3,4,6,1,3,1,5,3,Yes,4,Watching Sports,2,Yes,No,5
538-54-0209,26,Female,3,38,2,9,4,3,2,4,3,9,No,2,Yoga,2,No,No,5
785-18-1267,18,Female,4,50,0,8,3,3,5,2,3,3,No,5,Spending Time Alone,1,Yes,No,4
315-14-3308,21,Female,1,32,8,8,0,4,5,5,2,8,Yes,4,Talking to Friends,3,Yes,No,2
572-36-3852,26,Male,0,0,2,7,5,2,2,4,1,3,Yes,5,Social Media Engagement,3,Yes,No,5
192-13-3343,30,Male,0,33,1,11,5,4,2,3,2,9,No,2,Reading,4,No,No,5
247-09-1709,22,Female,4,57,4,7,2,5,3,5,2,3,Yes,1,Yoga,2,No,Yes,4
638-37-6479,28,Male,1,7,2,5,6,3,2,5,5,1,Yes,1,Exercise,5,No,Yes,4
585-40-0453,25,Female,2,8,6,4,5,1,2,3,2,9,Yes,5,Spending Time Alone,5,Yes,No,4
834-48-2185,23,Female,3,12,8,8,9,3,2,3,4,10,Yes,5,Social Media Engagement,1,Yes,No,1
430-98-7843,26,Female,4,2,4,10,1,4,5,5,5,6,Yes,3,Travelling,5,Yes,No,4
891-94-6731,25,Female,1,25,6,8,0,1,3,1,3,8,No,3,Talking to Friends,2,No,Yes,1
792-17-2824,23,Male,4,21,7,12,4,5,4,2,3,10,Yes,3,Exercise,4,Yes,No,5
174-38-8655,20,Female,4,46,1,7,2,1,5,5,4,6,No,4,Travelling,2,No,Yes,1
307-28-5129,24,Female,0,31,4,9,4,4,3,5,2,10,No,1,Yoga,4,Yes,No,1
781-32-3795,22,Female,2,57,6,7,9,5,5,3,1,6,Yes,1,Spending Time Alone,1,Yes,Yes,1
628-54-3016,30,Male,3,9,1,11,8,3,2,5,5,6,Yes,3,Travelling,1,Yes,Yes,5
751-44-1313,22,Female,0,3,0,7,3,4,3,4,1,2,No,4,Watching Sports,2,No,No,5
663-29-0123,19,Male,1,5,5,12,5,3,4,5,1,9,No,4,Exercise,2,No,No,4
667-64-2830,27,Male,2,46,0,6,2,4,1,5,4,3,Yes,5,Reading,4,Yes,No,3
482-19-3391,30,Male,2,14,2,12,4,2,3,3,1,8,Yes,2,Walking or Nature Walks,2,Yes,No,5
725-20-8354,30,Female,1,10,7,8,4,5,2,5,5,7,Yes,3,Travelling,4,No,No,2
381-57-2885,20,Genderqueer,3,33,0,6,4,4,2,3,5,1,No,5,Spending Time Alone,4,Yes,No,5
415-38-9662,21,Female,4,54,8,6,7,4,5,3,3,5,Yes,3,Reading,3,Yes,Yes,2
513-29-6152,18,Male,2,37,6,6,7,1,3,1,1,5,No,2,Travelling,1,Yes,Yes,3
788-65-2738,29,Male,0,60,0,11,0,2,1,1,1,8,Yes,5,Reading,3,No,Yes,4
565-85-9492,21,Male,0,24,3,11,1,1,5,5,2,1,Yes,4,Reading,5,No,No,3
543-17-1815,18,Bigender,1,51,8,11,7,2,3,2,3,2,No,4,Meditation,1,Yes,Yes,2
463-90-8517,23,Male,2,16,3,8,10,1,2,1,4,4,Yes,1,Meditation,4,No,No,4
764-31-6447,22,Female,2,44,6,12,5,3,5,3,1,9,No,5,Reading,3,Yes,No,3
462-74-2046,18,Male,3,47,7,6,1,2,3,1,5,1,Yes,4,Reading,5,No,Yes,1
694-39-2032,25,Male,3,17,2,12,2,3,5,1,1,4,Yes,3,Walking or Nature Walks,5,Yes,No,2
655-55-0209,21,Female,4,26,6,7,9,4,5,3,3,5,No,4,Meditation,2,Yes,No,4
127-94-0301,19,Bigender,2,59,5,8,9,1,4,3,3,4,Yes,3,Travelling,2,Yes,Yes,4
725-31-2595,20,Male,4,53,0,9,1,1,5,3,1,9,No,5,Talking to Friends,5,No,Yes,2
685-28-8610,21,Female,0,9,7,10,1,3,1,3,3,8,No,2,Social Media Engagement,1,Yes,No,4
729-30-6560,23,Female,3,49,8,4,8,4,2,5,3,5,Yes,2,Reading,5,No,Yes,4
821-31-0994,22,Male,0,18,4,4,1,2,5,1,4,9,No,3,Exercise,5,No,No,1
814-81-7401,21,Genderqueer,2,0,7,8,10,2,4,1,4,2,No,1,Watching Sports,1,No,No,3
102-53-4424,29,Female,4,43,8,12,0,2,4,5,1,8,Yes,3,Walking or Nature Walks,1,No,Yes,4
383-92-3685,19,Female,1,5,3,6,7,3,2,4,5,6,No,3,Talking to Friends,5,No,No,3
421-67-5430,26,Female,4,23,6,8,7,2,3,4,2,9,Yes,5,Yoga,2,Yes,No,4
402-01-4786,23,Male,2,1,8,4,1,4,5,3,3,4,Yes,3,Talking to Friends,3,Yes,No,3
412-84-5105,27,Female,3,15,1,9,2,2,5,3,2,7,No,3,Talking to Friends,4,No,No,5
200-18-7013,20,Male,3,21,2,9,6,3,3,5,4,10,Yes,2,Watching Sports,3,Yes,Yes,3
370-21-5479,20,Male,3,2,4,11,2,3,1,1,4,3,No,5,Talking to Friends,1,No,Yes,5
208-12-7999,20,Genderfluid,4,5,1,9,10,1,2,4,4,7,No,3,Watching Sports,3,Yes,No,3
419-54-4414,20,Female,1,18,7,10,2,3,4,1,3,9,No,4,Talking to Friends,1,No,No,2
622-57-6873,18,Female,4,0,4,10,9,5,3,4,1,10,Yes,5,Walking or Nature Walks,5,No,No,4
808-35-0942,18,Male,3,14,3,8,5,2,5,3,4,7,No,5,Social Media Engagement,5,Yes,No,2
616-73-2063,20,Male,4,28,7,7,5,5,1,5,5,1,Yes,4,Meditation,4,No,No,4
196-48-5751,24,Male,0,41,0,11,5,1,1,2,1,1,No,3,Social Media Engagement,3,Yes,No,5
189-42-4201,22,Male,2,13,0,7,4,5,5,1,1,4,Yes,1,Travelling,1,No,Yes,2
678-35-5150,21,Male,3,30,2,4,2,2,3,5,1,4,No,3,Spending Time Alone,1,Yes,No,2
275-55-2472,21,Female,0,54,2,4,2,4,4,3,2,2,No,1,Yoga,4,Yes,Yes,1
888-10-9349,29,Male,0,34,4,12,3,1,1,2,3,3,Yes,5,Yoga,1,No,No,3
621-13-0774,27,Female,2,54,2,4,8,2,4,5,2,6,No,5,Exercise,4,Yes,Yes,4
303-77-3078,24,Male,1,16,0,7,9,4,2,4,3,7,No,5,Reading,4,No,No,2
774-08-5222,19,Non-binary,1,52,1,7,4,1,5,3,4,7,Yes,1,Meditation,2,No,Yes,4
822-73-2624,18,Female,3,47,3,5,2,4,1,4,1,10,Yes,3,Talking to Friends,4,Yes,No,4
785-05-2183,29,Female,2,60,7,6,5,3,4,5,2,3,Yes,3,Spending Time Alone,5,Yes,Yes,2
746-44-5218,18,Male,3,55,7,9,10,2,4,1,4,3,No,1,Talking to Friends,3,Yes,No,2
790-99-1933,19,Male,3,21,4,8,0,1,1,1,2,4,No,5,Meditation,5,No,No,3
284-72-1833,28,Male,3,56,3,8,5,3,1,3,5,6,No,2,Reading,1,Yes,Yes,5
279-07-1790,25,Female,0,38,7,11,9,3,1,3,2,4,Yes,4,Yoga,4,No,No,5
216-93-6804,28,Male,1,29,6,4,6,5,2,3,4,3,Yes,5,Talking to Friends,5,Yes,No,2
562-13-2617,24,Female,3,33,7,10,7,1,5,3,3,4,Yes,5,Travelling,3,Yes,No,3
267-41-4726,19,Male,0,2,0,7,9,5,5,1,5,2,Yes,5,Social Media Engagement,5,No,Yes,5
240-79-0966,25,Female,2,7,6,6,2,2,3,4,4,2,No,5,Walking or Nature Walks,4,No,No,1
332-97-6557,22,Non-binary,4,52,3,6,5,1,5,3,5,1,Yes,1,Travelling,4,Yes,Yes,3
359-59-5634,24,Polygender,0,45,8,4,0,1,2,5,3,2,Yes,5,Exercise,4,No,No,3
652-47-2230,21,Female,4,11,6,6,3,4,1,2,4,5,No,5,Watching Sports,1,No,Yes,4
823-28-1778,23,Non-binary,1,26,8,12,2,2,1,1,3,6,No,3,Yoga,1,Yes,Yes,2
792-33-0211,30,Male,1,20,5,10,7,3,2,2,4,1,Yes,2,Exercise,4,Yes,Yes,5
719-03-2622,29,Female,3,7,7,9,1,2,2,3,3,6,Yes,5,Spending Time Alone,4,No,Yes,5
532-25-8114,29,Female,2,36,4,7,3,5,1,5,5,2,Yes,1,Meditation,1,No,No,5
662-04-7364,27,Female,0,27,8,11,8,1,3,3,1,4,No,4,Travelling,2,No,No,1
